City,Country,Date,Latitude,Longitude,Cloudiness,Max_Temp,Humidity,Wind_Speed
adrar,DZ,1554343200,27.87,-0.29,40,75.2,41,29.97
balikpapan,ID,1554343200,-1.24,116.86,40,86.0,74,3.36
east london,ZA,1554346800,-33.02,27.91,0,62.6,93,2.24
castro,CL,1554343200,-42.48,-73.76,90,51.8,87,20.8
torbay,CA,1554347916,47.66,-52.73,90,35.01,83,32.21
hofn,IS,1554348233,64.25,-15.21,20,34.11,100,4.07
punta arenas,CL,1554347546,-53.16,-70.91,40,41.0,100,20.8
caravelas,BR,1554348095,-17.73,-39.27,36,81.36,100,8.66
vaini,IN,1554343200,15.34,74.49,0,69.8,94,3.18
hervey bay,AU,1554347719,-25.3,152.85,75,84.0,51,17.22
ribeira grande,PT,1554348090,38.52,-28.7,92,59.49,100,20.85
egvekinot,RU,1554348147,66.32,-179.17,0,23.58,82,3.18
vestmannaeyjar,IS,1554348228,63.44,-20.27,92,40.32,87,21.41
vila velha,BR,1554347887,-3.71,-38.6,75,81.0,83,3.36
safita,SY,1554347826,34.82,36.12,0,50.0,87,4.7
ugoofaaru,MV,1554348236,5.67,73.0,0,83.7,100,4.52
sobolevo,RU,1554348237,54.43,31.9,56,32.58,74,5.64
acajutla,SV,1554348041,13.59,-89.83,80,77.0,76,2.39
bokovskaya,RU,1554348237,49.23,41.83,88,33.12,95,4.41
isangel,VU,1554346800,-19.55,169.27,75,86.0,74,4.7
luau,CD,1554348238,-10.7,22.23,44,65.88,90,2.17
vardo,US,1554348015,39.62,-77.74,1,53.6,27,8.05
bongandanga,CD,1554348239,1.51,21.07,56,72.09,98,2.39
warri,NG,1554347954,5.52,5.75,0,78.66,92,7.31
puerto ayora,EC,1554347741,-0.74,-90.35,24,80.01,93,7.09
katsuura,JP,1554347050,33.93,134.5,20,59.0,43,11.41
taybad,IR,1554348240,34.74,60.78,92,54.18,98,4.74
atuona,PF,1554348083,-9.8,-139.03,0,82.08,100,13.47
constitucion,MX,1554348016,23.99,-104.67,5,66.2,25,13.87
chaumont,FR,1554347727,48.11,5.14,90,39.2,86,2.24
henties bay,NA,1554346929,-22.12,14.28,0,59.0,93,5.01
cockburn town,TC,1554347905,21.46,-71.14,0,79.38,96,15.37
sola,NO,1554348019,58.89,5.65,90,50.0,81,5.82
mahebourg,MU,1554347944,-20.41,57.7,40,78.01,94,3.36
camacari,BR,1554346800,-12.7,-38.32,20,80.6,83,4.7
avarua,CK,1554346800,-21.21,-159.78,56,80.6,74,6.93
severo-kurilsk,RU,1554348066,50.68,156.12,92,34.83,90,5.41
naze,NG,1554348114,5.43,7.07,12,77.76,88,9.89
vila franca do campo,PT,1554348085,37.72,-25.43,40,55.4,76,9.17
rauma,FI,1554346200,61.13,21.5,76,41.0,52,6.93
jasper,US,1554348204,33.83,-87.28,1,62.6,41,4.7
makakilo city,US,1554347915,21.35,-158.09,1,82.4,51,8.05
lebu,ET,1554348098,8.96,38.73,56,51.93,93,2.95
tiksi,RU,1554348097,71.64,128.87,80,30.51,83,11.45
bowen,AU,1554348011,-20.01,148.25,75,88.0,69,19.46
kailua,US,1554348144,21.39,-157.74,20,80.6,69,10.29
laguna,MX,1554342060,27.52,-110.01,20,75.2,31,2.24
toora-khem,RU,1554348246,52.47,96.11,92,29.97,59,2.73
seminole,US,1554348019,32.72,-102.64,1,68.0,21,8.05
port blair,IN,1554343200,11.67,92.75,20,84.2,79,6.93
kavieng,PG,1554348220,-2.57,150.8,92,76.68,100,6.76
vieques,PR,1554348099,18.43,-65.83,40,80.6,74,10.29
okha,RU,1554348247,53.59,142.95,88,32.76,96,20.74
bethel,US,1554346560,60.79,-161.76,1,41.0,59,20.8
ulaanbaatar,MN,1554346800,47.92,106.92,75,33.8,31,13.42
correntina,BR,1554348248,-13.34,-44.63,44,72.9,75,2.84
inhambane,MZ,1554348164,-23.87,35.38,56,71.37,100,3.62
conneaut,US,1554348233,41.95,-80.55,1,43.0,55,8.66
saint-philippe,CA,1554348113,45.36,-73.48,75,36.0,47,16.11
hasaki,JP,1554346800,35.73,140.83,20,63.0,24,6.93
karasjok,NO,1554346200,69.47,25.52,80,28.4,74,13.87
touros,BR,1554346800,-5.2,-35.46,75,75.2,94,5.19
mataura,NZ,1554348005,-46.19,168.86,88,55.0,74,8.01
coihaique,CL,1554346800,-45.58,-72.07,0,46.4,61,4.7
esperance,TT,1554348008,10.24,-61.45,20,77.0,88,5.82
husavik,CA,1554348027,50.56,-96.99,0,27.0,57,5.75
gondanglegi,ID,1554348252,-7.75,112.01,20,81.45,90,4.29
salalah,OM,1554346200,17.01,54.1,0,75.2,60,2.24
mindelo,PT,1554348204,41.31,-8.72,20,45.0,86,3.36
reinosa,ES,1554348184,43.0,-4.14,80,41.0,86,6.93
hilo,US,1554347910,19.71,-155.08,20,78.8,65,12.75
zalantun,CN,1554348253,48.0,122.72,88,36.54,80,4.52
yellowknife,CA,1554348094,62.45,-114.38,20,5.0,50,10.29
darhan,MN,1554348254,49.49,105.92,64,34.29,52,8.32
hobart,AU,1554347957,-42.88,147.33,20,64.99,44,12.75
suntar,RU,1554348255,62.16,117.65,20,37.17,61,3.74
lavrentiya,RU,1554348132,65.58,-170.99,0,25.65,93,13.69
chernyy yar,RU,1554345000,64.44,40.96,0,30.2,63,6.71
fort nelson,CA,1554343200,58.81,-122.69,90,15.8,78,10.29
codrington,AU,1554348157,-28.95,153.24,40,78.8,47,13.87
buala,SB,1554348256,-8.15,159.59,36,86.31,81,6.08
cidreira,BR,1554348128,-30.17,-50.22,44,70.56,95,1.39
vieste,IT,1554347782,41.88,16.18,12,55.0,59,4.0
turochak,RU,1554348257,52.26,87.12,92,37.8,96,3.18
faya,SA,1554346800,18.39,42.45,0,59.0,82,9.17
fortuna,ES,1554348015,38.18,-1.13,20,57.2,71,9.17
ilulissat,GL,1554346200,69.22,-51.1,44,17.6,78,17.22
flinders,AU,1554348125,-34.58,150.85,75,72.0,72,12.75
nikolskoye,RU,1554348036,59.7,30.79,0,33.01,50,4.47
tuatapere,NZ,1554348005,-46.13,167.69,92,55.0,74,8.01
chokurdakh,RU,1554348182,70.62,147.9,0,18.9,100,4.52
norman wells,CA,1554343200,65.28,-126.83,40,6.8,55,9.17
harnosand,SE,1554347718,62.63,17.94,48,34.0,87,2.24
ibra,OM,1554348259,22.69,58.55,0,65.07,49,1.95
new ulm,US,1554348250,44.31,-94.46,75,42.8,45,3.36
hithadhoo,MV,1554348066,-0.6,73.08,68,80.91,100,3.96
lida,BY,1554348261,53.9,25.3,0,31.23,62,11.56
ushtobe,KZ,1554348261,45.25,77.98,20,59.85,49,4.41
pevek,RU,1554348148,69.7,170.27,0,25.47,80,2.17
alipur chatha,PK,1554346800,32.27,73.82,12,75.2,53,4.7
piranshahr,IR,1554348263,36.7,45.14,80,31.5,92,1.72
kamaishi,JP,1554346800,39.28,141.86,40,42.8,81,4.7
ostrovnoy,RU,1554348264,68.05,39.51,64,28.35,90,16.04
dikson,RU,1554348109,73.51,80.55,88,22.14,100,18.05
longyearbyen,NO,1554346200,78.22,15.63,75,14.0,78,12.75
mantua,IT,1554348246,45.16,10.79,75,55.99,71,10.29
sivaki,RU,1554348265,52.63,126.75,76,41.13,35,3.62
rongcheng,CN,1554348036,37.16,122.42,0,57.0,71,19.39
qaanaaq,GL,1554348109,77.48,-69.36,76,12.33,81,9.44
kinablangan,PH,1554348266,7.69,126.55,8,80.91,99,11.12
saskylakh,RU,1554348112,71.97,114.09,36,26.64,94,7.2
thompson,CA,1554343200,55.74,-97.86,40,6.8,71,2.24
kodiak,US,1554348050,39.95,-94.76,90,54.0,66,13.87
talara,PE,1554348134,-4.58,-81.27,36,74.88,74,5.97
ahipara,NZ,1554348092,-35.17,173.16,92,69.3,77,7.54
killarney,AU,1554346804,-28.34,152.3,0,66.0,54,8.01
buchanan,LR,1554343200,5.88,-10.05,20,77.0,94,5.53
petropavlovsk-kamchatskiy,RU,1554346800,53.05,158.65,40,41.0,56,13.42
beringovskiy,RU,1554348172,63.05,179.32,92,30.33,100,20.29
tautira,PF,1554348142,-17.73,-149.15,75,86.0,70,13.87
bourail,NC,1554348270,-21.57,165.5,80,76.68,85,4.52
bluff,AU,1554348077,-23.58,149.07,12,85.5,44,14.58
bonthe,SL,1554348205,7.53,-12.5,76,79.38,87,4.97
gagarin,UZ,1554348271,40.66,68.17,76,58.32,98,6.53
yulara,AU,1554343200,-25.24,130.99,0,86.0,16,16.11
tolaga bay,NZ,1554348272,-38.37,178.3,56,60.93,81,9.55
kokopo,PG,1554348272,-4.34,152.27,64,82.98,98,1.72
ojinaga,US,1554346870,29.56,-104.41,1,73.4,10,5.82
chulman,RU,1554348273,56.84,124.9,24,33.66,60,3.62
karratha,AU,1554348161,-20.74,116.85,0,96.93,27,8.77
riyadh,SA,1554346800,24.63,46.72,0,64.4,31,2.73
saint-augustin,FR,1554348083,44.83,-0.61,76,39.2,93,9.17
cabedelo,BR,1554343200,-6.97,-34.84,75,78.8,94,2.24
saint george,GR,1554346200,39.45,22.34,75,39.2,93,1.95
peniche,PT,1554348241,39.36,-9.38,20,48.99,75,3.36
kandrian,PG,1554348275,-6.21,149.55,88,80.46,91,2.39
sokoni,CD,1554348275,-12.89,28.78,8,62.46,61,6.42
souillac,FR,1554348083,45.6,-0.6,0,39.0,93,6.2
ommen,NL,1554348255,52.52,6.43,90,43.0,100,2.24
budesti,RO,1554348014,44.23,26.47,0,39.99,74,6.93
barra do garcas,BR,1554348276,-15.89,-52.26,64,73.08,91,5.97
whyalla,AU,1554343200,-33.04,137.58,12,86.0,25,5.82
emba,CY,1554347799,34.81,32.42,20,53.6,87,9.17
kalmunai,LK,1554348153,7.42,81.82,0,81.72,77,3.96
cape town,ZA,1554347765,-33.93,18.42,75,60.01,82,11.41
wells,GB,1554348246,51.21,-2.64,90,41.0,93,10.29
verkhoyansk,RU,1554348303,67.55,133.39,0,30.33,79,3.74
shingu,JP,1554346800,33.72,135.99,20,59.0,33,10.29
banda aceh,ID,1554348165,5.56,95.32,24,82.35,93,1.39
graham,US,1554348293,36.07,-79.4,1,55.99,50,3.36
sao joao da barra,BR,1554348186,-21.64,-41.05,8,77.31,100,7.76
hryshkivtsi,UA,1554348326,49.93,28.61,0,23.76,77,3.62
tandil,AR,1554347664,-37.33,-59.14,0,57.0,74,4.0
ikalamavony,MG,1554348327,-21.17,46.6,24,54.0,91,2.39
tasiilaq,GL,1554346200,65.61,-37.64,8,28.4,92,13.87
mandalgovi,MN,1554348125,45.76,106.27,0,48.51,66,10.78
waddan,LY,1554348328,29.16,16.14,64,46.62,73,2.84
port augusta,AU,1554347957,-32.49,137.76,0,87.01,25,5.82
almaznyy,RU,1554346800,48.03,40.04,40,35.6,95,6.71
kruisfontein,ZA,1554348119,-34.0,24.73,48,60.12,73,12.24
butembo,CD,1554348329,0.12,29.29,12,57.6,89,1.95
jackson,US,1554348084,35.61,-88.82,1,64.4,66,3.36
bambous virieux,MU,1554347944,-20.34,57.76,40,78.01,94,3.36
viedma,AR,1554348229,-40.81,-62.99,92,72.99,36,15.7
boali,CF,1554346800,4.81,18.11,32,77.0,94,2.24
olinda,EC,1554348040,-2.03,-79.75,75,81.0,88,3.36
bairnsdale,AU,1554348066,-37.83,147.63,64,63.0,88,4.0
bilma,NE,1554348133,18.69,12.92,0,64.71,30,3.74
srednekolymsk,RU,1554348331,67.46,153.71,0,36.27,73,2.73
traverse city,US,1554348177,44.76,-85.62,1,32.0,79,4.7
cariamanga,EC,1554348220,-4.33,-79.56,92,65.34,98,1.72
midland,US,1554348033,32.0,-102.08,1,66.2,63,10.29
victoria,BN,1554345000,5.28,115.24,75,86.0,79,4.7
stryn,NO,1554348305,61.9,6.72,0,36.0,90,1.99
joshimath,IN,1554347948,30.57,79.57,0,16.29,100,1.39
sao filipe,CV,1554348143,14.9,-24.5,68,69.21,100,15.93
mortka,RU,1554348334,59.33,66.02,0,23.22,77,1.5
cananea,MX,1554348274,30.98,-110.3,1,62.01,24,6.93
scarborough,GB,1554348182,54.28,-0.41,80,37.99,100,1.12
dingle,PH,1554348335,11.0,122.67,0,88.2,50,12.57
letka,BA,1554346800,43.74,17.27,20,57.2,41,6.93
meulaboh,ID,1554348335,4.14,96.13,12,81.72,100,1.39
georgetown,GY,1554343200,6.8,-58.16,20,77.0,88,4.7
nome,US,1554348216,30.04,-94.42,90,66.2,72,10.29
invermere,CA,1554348336,50.51,-116.03,8,33.3,70,1.61
maniitsoq,GL,1554348218,65.42,-52.9,88,25.38,83,19.84
leningradskiy,RU,1554348179,69.38,178.42,8,10.08,88,17.05
silopi,IQ,1554348337,37.25,42.47,0,42.03,98,2.84
santa rosa,AR,1554348042,-36.62,-64.29,44,67.5,57,12.01
itoman,JP,1554346800,26.12,127.67,75,75.2,49,10.29
humaita,AR,1554346800,-24.93,-65.37,75,68.0,93,3.36
kaitangata,NZ,1554348180,-46.28,169.85,92,51.01,84,11.01
puerto escondido,MX,1554345900,15.86,-97.07,5,80.6,74,7.2
cabo san lucas,MX,1554347823,22.89,-109.91,5,73.0,53,8.05
polyarnyy,RU,1554345000,69.2,33.45,75,32.0,88,4.47
cap malheureux,MU,1554348243,-19.98,57.61,40,79.0,94,3.36
la orilla,MX,1554348342,18.0,-102.23,0,72.81,99,3.18
port-gentil,GA,1554348092,-0.72,8.78,56,82.71,97,7.65
igarka,RU,1554348153,67.47,86.57,80,21.42,98,8.66
kysyl-syr,RU,1554348343,63.9,122.77,24,33.48,71,3.74
nelson bay,AU,1554348031,-32.72,152.14,75,70.0,77,20.8
dali,CN,1554348344,25.6,100.24,0,56.34,90,2.17
mareeba,AU,1554347899,-16.99,145.42,75,81.0,88,18.34
sistranda,NO,1554348266,63.73,8.83,75,37.4,93,4.7
ayat,ET,1554348345,9.03,38.85,56,51.93,93,2.95
rawson,AR,1554348345,-43.3,-65.11,0,56.43,39,7.43
komsomolskiy,RU,1554348100,67.55,63.78,92,26.82,90,7.2
airai,TL,1554348067,-8.93,125.41,76,78.03,68,2.17
the valley,AI,1554347705,18.22,-63.06,20,78.8,69,12.75
fukue,JP,1554348245,35.03,136.69,20,61.0,89,4.7
kuantan,MY,1554343200,3.82,103.33,75,84.2,79,6.93
kichmengskiy gorodok,RU,1554348347,59.99,45.81,0,17.91,76,3.74
magadan,RU,1554348347,59.56,150.8,64,36.63,80,14.25
tuktoyaktuk,CA,1554343200,69.44,-133.03,90,1.4,77,10.29
yoichi,JP,1554346800,43.19,140.77,75,53.01,39,9.17
edea,CM,1554346800,3.8,10.13,40,80.6,100,3.36
llanes,ES,1554348332,43.42,-4.75,92,46.99,81,3.51
havoysund,NO,1554346200,71.0,24.66,75,28.4,74,19.46
emerald,AU,1554348349,-23.53,148.16,0,82.99,47,11.41
oranjemund,ZA,1554348350,-28.55,16.43,92,58.5,97,5.64
alekseyevsk,RU,1554348350,57.84,108.35,88,29.61,58,7.43
nizhniye sergi,RU,1554348350,56.66,59.3,88,31.23,74,10.45
ponta do sol,BR,1554348104,-20.63,-46.0,12,65.7,92,3.18
ondjiva,AO,1554348351,-17.07,15.73,20,75.06,35,13.24
guangshui,CN,1554348351,31.62,113.82,68,65.79,56,3.51
yima,CN,1554347962,34.75,111.87,0,60.01,40,3.0
valga,EE,1554348016,57.78,26.04,0,39.0,47,3.96
broome,GB,1554348212,52.47,1.45,0,37.0,91,4.7
bilibino,RU,1554348353,68.06,166.44,0,33.3,79,3.06
dunedin,NZ,1554347802,-45.87,170.5,68,57.0,73,15.01
arlit,NE,1554348063,18.74,7.39,0,71.37,32,2.62
zhangye,CN,1554348354,38.94,100.46,0,52.2,83,4.41
savannakhet,TH,1554346800,16.57,104.76,75,87.8,52,2.24
bathsheba,BB,1554343200,13.22,-59.52,20,78.8,74,18.34
agdam,AZ,1554348356,39.99,46.93,24,34.2,83,2.17
vao,EE,1554348356,59.1,26.19,0,30.69,76,7.65
mayo,CA,1554343200,63.59,-135.9,5,21.2,26,17.22
faanui,PF,1554348071,-16.48,-151.75,32,84.42,100,5.97
usinsk,RU,1554348358,66.0,57.56,48,30.15,91,7.09
jalu,LY,1554348358,29.03,21.55,0,53.01,60,2.84
hanmer springs,NZ,1554348358,-42.52,172.83,32,61.38,39,2.51
xixiang,CN,1554348246,22.58,113.87,40,73.4,73,16.11
didsbury,CA,1554348343,51.66,-114.14,90,46.99,48,11.41
qingdao,CN,1554343200,36.09,120.35,0,59.0,47,15.66
verkhnyaya toyma,RU,1554348360,62.24,45.0,0,18.36,80,4.85
tomatlan,MX,1554348104,19.93,-105.25,0,67.41,83,2.62
port arthur,US,1554348310,29.9,-93.93,90,66.2,72,16.11
alofi,NU,1554346800,-19.06,-169.92,75,80.6,74,14.99
simpang,MY,1554346800,4.82,100.71,75,87.8,79,3.36
chuy,UY,1554347884,-33.69,-53.46,12,65.16,91,6.98
kristiansund,NO,1554346200,63.12,7.73,12,37.4,86,10.29
ust-tarka,RU,1554348362,55.56,75.71,92,32.4,96,14.03
opuwo,NA,1554348363,-18.06,13.84,0,59.58,80,3.62
pacific grove,US,1554348017,36.62,-121.92,75,59.0,76,4.7
hovd,NO,1554348317,63.83,10.7,0,39.99,95,2.24
santiago de chuco,PE,1554348363,-8.15,-78.17,36,46.71,99,0.38
mayumba,GA,1554348364,-3.44,10.65,92,73.98,100,6.08
manacapuru,BR,1554346800,-3.3,-60.62,75,77.0,94,4.7
kirakira,SB,1554348087,-10.46,161.92,44,84.15,100,6.87
hurricane,US,1554348015,37.18,-113.29,1,62.6,33,3.36
altay,CN,1554348365,47.83,88.13,24,42.3,65,1.72
xam nua,LA,1554348365,20.42,104.04,80,66.33,93,1.16
sibolga,ID,1554348087,1.74,98.78,8,77.49,90,1.83
brae,GB,1554346200,60.4,-1.35,8,44.6,81,13.87
seddon,NZ,1554348011,-41.67,174.07,0,64.99,61,3.0
chapais,CA,1554345840,49.78,-74.86,75,19.4,73,16.11
kaifeng,CN,1554343200,34.8,114.35,64,64.4,45,6.71
oktyabrskiy,RU,1554348122,55.61,37.97,0,36.0,74,4.47
grand gaube,MU,1554347944,-20.01,57.66,40,78.01,94,3.36
nishihara,JP,1554348321,35.74,139.53,20,62.01,24,11.41
fairbanks,US,1554348113,64.84,-147.72,1,24.8,38,23.04
mackay,CA,1554346800,53.65,-115.58,75,42.8,56,6.93
mogzon,RU,1554348369,51.74,111.97,80,28.62,35,15.37
vikhorevka,RU,1554348146,56.12,101.17,24,28.4,46,13.42
bhachau,IN,1554348370,23.3,70.35,20,78.03,68,5.41
manapparai,IN,1554346800,10.61,78.42,0,84.2,70,4.7
college,US,1554348247,64.86,-147.8,1,28.4,38,23.04
clyde river,CA,1554346800,70.47,-68.59,90,8.6,65,17.22
spornoye,RU,1554346800,50.84,37.29,0,30.2,58,6.71
palmas bellas,PA,1554347971,9.23,-80.09,20,80.6,74,10.29
jumla,NP,1554348137,29.28,82.18,0,35.64,76,1.95
lasa,CY,1554347799,34.92,32.53,20,53.6,87,9.17
labuhan,ID,1554348372,-2.54,115.51,8,86.85,68,2.73
zhigansk,RU,1554348373,66.77,123.37,76,31.5,78,3.74
mackenzie,CA,1554343200,55.34,-123.09,40,48.2,34,4.7
luderitz,NA,1554348071,-26.65,15.16,24,54.9,93,12.46
mizdah,LY,1554348178,31.45,12.98,64,48.96,70,2.84
ketchikan,US,1554346560,55.34,-131.65,90,46.4,75,12.75
itarema,BR,1554348374,-2.92,-39.92,92,73.08,100,3.62
provost,CA,1554348375,52.35,-110.26,56,42.57,60,10.0
portage,US,1554348365,42.2,-85.58,90,50.0,49,4.7
boa vista,BR,1554346800,2.82,-60.67,0,86.0,48,12.75
moindou,NC,1554346800,-21.69,165.68,40,86.0,58,11.41
baglung,NP,1554348377,28.27,83.59,12,57.78,62,2.17
nikel,NO,1554346200,69.41,30.21,75,30.2,92,17.22
rafsanjan,IR,1554348378,30.4,55.99,0,48.33,79,4.18
cururupu,BR,1554348378,-1.82,-44.87,92,72.9,100,3.29
almazar,UZ,1554346800,40.32,69.01,90,57.2,93,2.24
dom pedrito,BR,1554348379,-30.98,-54.67,24,73.8,82,2.84
ancud,CL,1554343200,-41.87,-73.83,90,51.8,87,20.8
teahupoo,PF,1554348142,-17.83,-149.27,75,86.0,70,13.87
chicama,PE,1554346800,-7.84,-79.15,75,68.0,88,5.82
te anau,NZ,1554348231,-45.41,167.72,92,47.43,100,4.41
kosh-agach,RU,1554348382,49.99,88.66,68,41.49,38,5.19
mana,RS,1554346800,43.52,20.24,40,46.4,52,2.24
broken hill,AU,1554343200,-31.97,141.45,32,84.2,21,9.17
matara,PE,1554348383,-13.74,-72.9,36,45.63,96,1.72
iroquois falls,CA,1554344520,48.76,-80.69,40,19.4,73,6.93
mansfield,US,1554348375,32.56,-97.14,90,64.99,63,11.41
forestville,CA,1554346200,48.74,-69.09,90,28.4,100,8.05
ailigandi,PA,1554348385,9.23,-78.02,100,78.21,78,8.43
muros,ES,1554348115,42.77,-9.06,40,45.0,93,1.12
bandrele,YT,1554346800,-12.91,45.19,75,82.4,83,10.29
polessk,RU,1554346800,54.86,21.11,0,39.2,48,11.18
mar del plata,AR,1554348095,-46.43,-67.52,92,60.39,54,9.1
heihe,RU,1554346800,50.24,127.51,40,44.6,26,8.95
aksu,KZ,1554346800,52.04,76.93,0,44.6,81,6.71
wanaka,NZ,1554348387,-44.7,169.14,92,50.31,74,2.62
nagato,JP,1554348092,34.35,131.14,20,61.0,38,14.99
lar,IR,1554346800,27.66,54.32,40,60.8,87,6.93
betul,IN,1554348389,21.92,77.9,0,85.23,29,4.97
alyangula,AU,1554343200,-13.85,136.42,90,87.8,70,10.29
sassandra,CI,1554348389,4.95,-6.09,0,82.08,100,10.67
nalut,LY,1554348390,31.86,10.98,8,58.05,60,8.66
shawnee,US,1554348134,35.33,-96.93,90,63.0,72,8.05
ossora,RU,1554348237,59.24,163.07,92,32.67,95,21.63
canandaigua,US,1554348364,42.88,-77.28,90,39.0,49,10.11
ayolas,PY,1554348400,-27.39,-56.84,56,73.71,92,3.96
geraldton,CA,1554343200,49.72,-86.95,20,19.4,52,4.7
tiznit,MA,1554348232,29.7,-9.73,88,58.23,95,6.87
kenai,US,1554348124,60.55,-151.26,1,46.4,36,18.34
lima,PE,1554348303,-12.06,-77.04,40,71.6,83,12.75
farsund,NO,1554348296,58.09,6.8,20,46.0,73,15.01
florida,CU,1554342600,21.53,-78.23,0,73.4,88,10.29
ucluelet,CA,1554348082,48.94,-125.55,92,50.0,96,1.39
temecula,US,1554348401,33.49,-117.15,1,60.8,67,5.82
khatanga,RU,1554348169,71.98,102.47,80,19.98,91,8.77
lufkin,US,1554348340,31.34,-94.73,90,63.0,67,10.29
glasgow,GB,1554348388,55.86,-4.24,88,39.99,86,14.99
pimentel,BR,1554348118,-3.7,-45.5,88,76.41,95,3.74
carthage,US,1554348330,32.16,-94.34,75,66.99,48,5.82
wana,PK,1554348405,32.31,69.59,0,63.27,35,3.62
aykhal,RU,1554348406,65.95,111.51,8,30.33,82,4.41
tizimin,MX,1554348406,21.14,-88.15,0,80.73,51,9.1
sitka,US,1554347826,37.17,-99.65,8,55.0,77,3.0
kadipur,IN,1554348407,26.16,82.38,0,82.26,60,5.86
neya,RU,1554348407,58.29,43.89,0,15.93,62,3.74
wahiawa,US,1554348055,21.5,-158.02,1,80.6,57,13.87
catia la mar,VE,1554348315,10.6,-67.03,40,73.4,88,3.36
russell,AR,1554346800,-33.01,-68.8,0,71.6,49,3.36
smithers,CA,1554343200,54.78,-127.17,75,51.8,29,3.29
brownsville,US,1554348322,25.91,-97.49,20,72.0,94,9.17
zhigalovo,RU,1554348409,54.81,105.15,56,28.17,49,4.41
leh,IN,1554348410,34.16,77.58,48,3.24,83,2.06
flin flon,CA,1554348096,54.77,-101.88,48,19.08,53,6.42
tianpeng,CN,1554348410,28.88,112.34,100,55.98,100,6.08
mitchell,US,1554348305,43.71,-98.03,90,41.0,86,13.87
medvezhyegorsk,RU,1554348411,62.92,34.47,36,29.52,82,7.65
penzance,GB,1554348311,50.12,-5.53,75,44.01,93,16.11
namibe,AO,1554348114,-15.19,12.15,0,78.21,100,8.43
talnakh,RU,1554348087,69.49,88.39,76,19.71,95,7.09
asmar,AF,1554348412,35.03,71.36,8,63.09,39,2.51
samarai,PG,1554348089,-10.62,150.67,44,81.63,100,6.76
kon tum,VN,1554348413,14.36,108.0,92,72.45,86,2.06
payo,ID,1554348413,-3.75,103.64,80,77.04,100,2.62
port macquarie,AU,1554348004,-31.43,152.91,75,80.01,47,6.93
rincon,US,1554348259,32.3,-81.24,1,55.4,81,4.74
san vicente,SV,1554348041,13.64,-88.78,20,80.6,78,3.36
imbituba,BR,1554346800,-28.24,-48.67,0,77.0,88,6.93
pisco,PE,1554343200,-13.71,-76.2,0,69.8,88,14.99
trairi,BR,1554348415,-3.28,-39.27,80,79.2,100,7.2
port moresby,PG,1554343200,-9.47,147.16,40,87.8,74,11.41
baculin,PH,1554348415,7.45,126.58,0,83.7,72,8.66
alpena,US,1554348358,45.06,-83.43,90,30.99,68,4.7
yazoo city,US,1554348415,32.86,-90.41,1,64.4,67,8.1
nanortalik,GL,1554348097,60.14,-45.24,32,31.32,100,13.69
kangaatsiaq,GL,1554348417,68.31,-53.46,76,17.64,100,12.68
acapulco,MX,1554345780,16.86,-99.88,5,80.6,65,3.36
chernyshevskiy,RU,1554348417,63.01,112.47,64,32.67,72,3.4
kiama,AU,1554348125,-34.67,150.86,75,72.0,72,12.75
skibbereen,IE,1554346800,51.55,-9.27,75,41.0,86,18.34
kalmar,SE,1554347704,56.66,16.36,44,42.8,73,8.05
port hardy,CA,1554344280,50.7,-127.42,90,50.0,87,4.7
